"lea_state","lea_state_name","ncesleaid","lea_name","schid","school_name","ncessch","jj","title_i_status"
"AK","ALASKA","0200050","Alaska Gateway School District","00023","Alaska REACH Academy","020005000023","No","No"
"AK","ALASKA","0200010","Aleutian Region School District","00005","Yakov E. Netsvetov School","020001000005","No","No"
"AK","ALASKA","0200010","Aleutian Region School District","00080","Adak School","020001000080","No","No"
"AK","ALASKA","0200180","Anchorage School District","00458","Eagle River High School","020018000458","No","No"
"AK","ALASKA","0200180","Anchorage School District","00454","South Anchorage High School","020018000454","No","No"
"AK","ALASKA","0200180","Anchorage School District","00390","Trailside Elementary","020018000390","No","No"
"AK","ALASKA","0200180","Anchorage School District","00067","Chugach Optional Elementary","020018000067","No","No"
"AK","ALASKA","0200180","Anchorage School District","00068","Chugiak Elementary","020018000068","No","No"
"AK","ALASKA","0200180","Anchorage School District","00069","Chugiak High School","020018000069","No","No"
"AK","ALASKA","0200180","Anchorage School District","00077","Girdwood School","020018000077","No","No"
"AK","ALASKA","0200180","Anchorage School District","00059","Bayshore Elementary","020018000059","No","No"
"AK","ALASKA","0200180","Anchorage School District","00060","Birchwood ABC Elementary","020018000060","No","No"
"AK","ALASKA","0200180","Anchorage School District","00103","Rabbit Creek Elementary","020018000103","No","No"
"AK","ALASKA","0200180","Anchorage School District","00104","Alpenglow Elementary","020018000104","No","No"
"AK","ALASKA","0200180","Anchorage School District","00115","Steller Secondary School","020018000115","No","No"
"AK","ALASKA","0200180","Anchorage School District","00149","Kincaid Elementary","020018000149","No","No"
"AK","ALASKA","0200180","Anchorage School District","00172","Aquarian Charter School","020018000172","No","No"
"AK","ALASKA","0200180","Anchorage School District","00178","Family Partnership Charter School","020018000178","No","No"
"AK","ALASKA","0200180","Anchorage School District","00229","Mirror Lake Middle School","020018000229","No","No"
"AK","ALASKA","0200180","Anchorage School District","00101","Polaris K-12 School","020018000101","No","No"
"AK","ALASKA","0200180","Anchorage School District","10162","Goldenview Middle School","020018010162","No","No"
"AK","ALASKA","0200180","Anchorage School District","10080","Homestead Elementary","020018010080","No","No"
"AK","ALASKA","0200180","Anchorage School District","00555","Highland Academy Charter","020018000555","No","No"
"AK","ALASKA","0200180","Anchorage School District","00732","Rilke Schule Charter School","020018000732","No","No"
"AK","ALASKA","0200180","Anchorage School District","00082","Huffman Elementary","020018000082","No","No"
"AK","ALASKA","0200180","Anchorage School District","00460","Eagle Academy Charter School","020018000460","No","No"
"AK","ALASKA","0200180","Anchorage School District","00459","Winterberry School","020018000459","No","No"
"AK","ALASKA","0200180","Anchorage School District","00094","Northern Lights ABC K-8 School","020018000094","No","No"
"AK","ALASKA","0200180","Anchorage School District","00097","O'Malley Elementary","020018000097","No","No"
"AK","ALASKA","0200180","Anchorage School District","00533","Bear Valley Elementary","020018000533","No","No"
"AK","ALASKA","0200180","Anchorage School District","00532","Ravenwood Elementary","020018000532","No","No"
"AK","ALASKA","0200180","Anchorage School District","00530","Frontier Charter School","020018000530","No","No"
"AK","ALASKA","0200730","Chatham School District","00344","Gustavus School","020073000344","No","No"
"AK","ALASKA","0200730","Chatham School District","00477","Chatham Correspondence","020073000477","No","No"
"AK","ALASKA","0200060","Cordova City School District","00750","Cordova School District Innovative Learning","020006000750","No","No"
"AK","ALASKA","0200090","Craig City School District","00160","PACE Correspondence","020009000160","No","No"
"AK","ALASKA","0200100","Delta-Greely School District","00599","Delta/Greely Homeschool","020010000599","No","No"
"AK","ALASKA","0200100","Delta-Greely School District","00510","Gerstle River School","020010000510","No","No"
"AK","ALASKA","0200770","Denali Borough School District","00447","Denali PEAK","020077000447","No","No"
"AK","ALASKA","0200770","Denali Borough School District","00357","Tri-Valley School","020077000357","No","No"
"AK","ALASKA","0200120","Dillingham City School District","00745","Dillingham Correspondence School","020012000745","No","No"
"AK","ALASKA","0200600","Fairbanks North Star Borough School District","00280","Woodriver Elementary","020060000280","No","No"
"AK","ALASKA","0200600","Fairbanks North Star Borough School District","00742","Watershed Charter School","020060000742","No","No"
"AK","ALASKA","0200600","Fairbanks North Star Borough School District","00652","North Pole Middle School","020060000652","No","No"
"AK","ALASKA","0200600","Fairbanks North Star Borough School District","00650","Hutchison High School","020060000650","No","No"
"AK","ALASKA","0200600","Fairbanks North Star Borough School District","00587","Fairbanks B.E.S.T.","020060000587","No","No"
